num_animal;serie;traitement;lot;poids_debut;poids_fin;GMQ_poids;GMQ_1er_tiers;GMQ_3eme_tiers;IC;eff_NRJ;eff_prot;poids_carcasse;code_confo;etat;gras_de_bassin;gras_de_rognons ;gras_de_parage;gras_total;gras_elimines;note_persille;note_marbre;note_couleur_gras;pH;note_couleur_viande;L_noix;a_etoile;b_etoile;C_etoile;h_etoile;prct_muscle_carcasse;prct_gras_carcasse;prct_os_carcasse;lipid;TG_tnr;DG1_DG2_tnr;CL_tnr;AGL_tnr;PL_tnr;lipid_HPLC;PE_PI_tnr;PC_tnr;TG_prct;DG1_DG2_prct;CL_prct;AGL_prct;PL_prct;C14_0;C16_0;C18_0;AGS ;C18_1_cis9;AGMI_cis;C18_1_tr9;C18_1tr10;C18_1tr11;AGMI_trans;AGMI;LA;C20_4n_6;tot_n_6;ALA;EPA;DPA;tot_n_3_LC;tot_n_3 ;CLA;CLA_tot;AGPI_tot;ratio_n6_n3 ;ratio_LA_ALA;AGPI_sur_AGS;ratio_C16_C18_0;intensite_tendrete;intensite_jutosite;intensite_flaveur;sucree;acide;amere;metallique;rance;gras;poisson;sang;satisfaction_generale;MQ4
84;2;T;1;598;759;1.58;1.91;2.03;6.64;40.69;0.86;438;11;3;2.9;15.9;6.5;25.3;5.78;6;2;1;5.45;2;41.89;35.53;18.87;40.2300609;0.488217333;69.8;16.8;12.5;3.198;1.362;0.045;0.042;0.012;0.651;2.112;0.231;0.42;64.5;2.13;1.97;0.59;30.82;2.713;26.619;11.616;44.34;36.669;45.16;0.234;2.00778;0.63438;3.27;48.43;3.561;0.883;5.526;0.43;0.135;0.405;0.539;0.969;0.282;0.282;6.777;5.7;8.29;0.152841678;2.291580579;61.4;48.6;49.8;6.8;13;0;5;0.8;7.6;0.8;9.5;49;52.752
97;2;LC;3;496;665;1.66;2.03;1.58;6.14;41.31;0.74;388;10;3;1.7;9.6;2.9;14.2;3.66;4;0;1;5.55;2;39.99;35.55;18.78;40.20560782;0.486007033;75;11.6;12.8;1.478;0.436;0.031;0.022;0.003;0.465;0.958;0.094;0.371;45.56;3.22;2.34;0.3;48.58;2.488;23.57;11.483;40.82;30.815;39.54;0.337;3.59922;0.60794;5.38;44.92;6.989;1.534;10.334;1.621;0.415;0.719;1.242;2.863;0.314;0.314;13.511;3.61;4.31;0.330989711;2.052599495;57.3;43.9;40.3;15;9.5;4.7;6.9;0;4.3;0;5.8;38.6;44.677
101;2;L;2;529;695;1.63;1.68;1.89;6.14;46.01;0.76;415;10;3;1.9;11;2.7;15.6;3.76;3;0;1;5.53;2;44.07;33.31;18.35;38.02996976;0.503522895;75.3;11.6;12.6;1.471;0.4;0.031;0.022;0.003;0.426;0.882;0.1;0.326;45.41;3.52;2.49;0.33;48.25;2.356;22.526;11.393;39.52;28.613;36.69;0.343;2.88045;1.0767;5.55;42.25;7.568;1.87;12.683;2.836;0.658;1.133;1.791;4.627;0.438;0.438;17.748;2.74;2.67;0.449089069;1.97717897;51.5;43.8;45.6;5.1;13.6;10.1;8.3;2.3;13;1;15.8;30.9;42.623
105;2;LC;3;476;660;1.8;1.68;1.87;6.14;41.31;0.74;383;10;3;1.2;9.7;1.2;12.1;3.16;4;1;1;5.61;1;46.1;31.67;18.08;36.46745535;0.518737965;73;13.4;12.9;2.298;0.943;0.069;0.033;0.005;0.532;1.58;0.139;0.393;59.66;4.34;2.07;0.29;33.64;2.401;21.208;12.404;39.36;29.594;36.55;0.344;8.20831;1.09304;10.51;47.06;5.933;1.106;9.365;1.743;0.372;0.601;1.067;2.81;0.378;0.538;12.713;3.33;3.4;0.322992886;1.709771042;51.5;23.8;43;0.6;5.8;6.8;0.8;10.7;15.4;0.4;11.9;24.3;38.815
109;2;P;4;499;711;2.08;2.15;2.16;5.88;38.18;0.7;421.5;10;3;1.3;7.6;2.4;11.3;2.68;4;1;1;5.37;1;43.86;34.78;19.48;39.86375296;0.510558361;74.3;12.5;12.6;1.966;0.635;0.042;0.028;0.008;0.489;1.201;0.145;0.343;52.86;3.46;2.35;0.63;40.69;1.976;24.359;14.847;44.21;33.058;39.53;0.443;2.9574;0.62487;4.77;44.3;6.022;1.596;9.295;0.541;0.303;0.674;0.977;1.518;0.254;0.254;11.068;6.12;11.13;0.250350599;1.640668148;54.7;37.8;36.8;4.2;8.8;1.8;0;1.8;15.3;0.4;10.3;32.7;40.581
286;1;T;1;653;794;1.38;1.53;1.31;7.03;45.48;0.91;489;12;3;2.1;11.8;8;21.9;4.48;5;1;2;5.44;2;47.61;33.82;18.73;38.66012545;0.505766947;75.2;12.1;12.2;3.184;1.378;0.065;0.042;0.006;0.634;2.125;0.236;0.399;64.83;3.06;1.97;0.3;29.84;2.48;24.055;13.14;43.63;35.838;43.2;0.314;1.3572;2.20896;4.68;47.88;3.88;0.877;5.917;0.655;0.239;0.585;0.953;1.607;0.675;0.675;8.199;3.68;5.93;0.187921155;1.830669711;42.7;31.6;42;2.8;1.8;1.7;2.4;0;7.1;3;6.3;34.1;39.331
1577;2;L;2;506;665;1.56;2.44;1.35;6.14;46.01;0.76;404.5;10;2;0.9;4.5;1.1;6.5;1.61;4;0;1;5.53;3;37.28;34.88;17.6;39.06884181;0.467310596;76.8;10.2;12.7;0.986;0.006;0.022;0.02;0.002;0.312;0.362;0.037;0.275;1.59;6.12;5.43;0.53;86.33;1.517;21.156;12.191;38.53;22.559;29.88;0.282;6.18343;0.77188;8.39;38.27;10.577;2.537;15.89;3.47;0.734;0.996;1.93;5.4;0.237;0.237;21.527;2.94;3.05;0.558707501;1.735378558;38;43.2;48.1;3.8;1.3;6.4;0.5;2.3;7.3;0;5.9;33.4;40.519
1585;2;P;4;470;645;1.72;1.74;1.98;5.88;38.18;0.7;372.5;9;2;1.1;3.7;1.8;6.6;1.77;3;0;1;5.53;3;40.21;29.83;15.89;33.7982396;0.489452601;75.2;11.3;13;1.9;0.566;0.037;0.027;0.011;0.498;1.139;0.134;0.363;49.71;3.22;2.41;0.96;43.7;2.187;25.038;14.684;44.71;27.955;34.1;0.262;4.845;0.45866;6.46;40.56;8.161;2.399;12.306;0.661;0.41;0.724;1.134;1.794;0.172;0.253;14.353;6.86;12.36;0.321024379;1.70512122;58.3;57;48.4;14;1.4;1.7;0;2.8;4.8;0;8.5;54.2;53.314
1587;2;L;2;491;653;1.59;1.12;1.94;6.14;46.01;0.76;385.5;9;3;1.1;4.8;2;7.9;2.05;4;0;1;5.5;3;40.59;29.1;15.26;32.85844792;0.48297545;76;10.7;12.8;1.27;0.282;0.026;0.021;0.002;0.417;0.747;0.077;0.34;37.71;3.43;2.76;0.33;55.78;1.768;20.172;12.655;37.49;25.199;31.74;0.294;5.11428;0.782;7.82;39.56;10.043;2.211;15.517;4.028;0.62;0.938;1.758;5.786;0.26;0.26;21.564;2.68;2.49;0.575193385;1.593994469;55.6;43.3;52.1;9.7;3.8;2.8;1.8;3.1;16.3;3.2;6.6;35.2;47.489
1597;2;P;4;518;646;1.25;1.15;1.09;5.88;38.18;0.7;385;9;2;0.7;2.3;1.4;4.4;1.14;4;0;1;5.45;3;40.83;29.84;16.16;33.93480809;0.496336383;76.6;10.1;12.9;1.244;0.272;0.022;0.02;0.005;0.366;0.685;0.078;0.288;39.62;3.26;2.97;0.7;53.45;2.006;24.063;15.144;43.8;28.704;35.29;0.281;2.25375;0.405;3.75;39.04;8.926;3.016;13.847;0.744;0.594;0.964;1.682;2.426;0.189;0.189;16.461;5.71;12;0.375821918;1.588946117;63.7;43.3;54.5;2.1;16.6;1;10.3;10.2;6;9;14.3;28.8;48.661
1602;2;T;1;478;683;2.01;2.5;2.26;6.64;40.69;0.86;398.5;11;3;1.7;5.7;2.2;9.6;2.41;4;0;1;5.6;2;45.29;30.6;17.49;35.24571038;0.519251689;74.3;12.4;12.8;2.251;0.834;0.046;0.031;0.017;0.455;1.383;0.167;0.288;60.29;3.31;2.27;1.24;32.89;2.272;24.043;11.246;40.88;36.839;44.45;0.14;3.53126;0.42412;4.61;49.06;5.346;1.502;8.082;0.503;0.24;0.661;0.901;1.404;0.223;0.305;9.791;5.76;10.63;0.239505871;2.137915703;59.3;40.7;45.2;1.8;2.5;4.2;0.3;2.7;10.2;4.5;4.3;39.5;47.201
